|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5213|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.5313|±  |0.0163|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.5698|±  |0.0159|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.4596|±  |0.0167|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.4519|±  |0.0162|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.3678|±  |0.0159|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.7910|±  |0.0138|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.4849|±  |0.0161|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.3238|±  |0.0150|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.1897|±  |0.0125|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.3038|±  |0.0149|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.7424|±  |0.0144|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.5323|±  |0.0169|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.3698|±  |0.0156|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.5017|±  |0.0171|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.2205|±  |0.0138|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.1657|±  |0.0127|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.5354|±  |0.0170|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.5691|±  |0.0168|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.4951|±  |0.0165|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.4374|±  |0.0165|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.4675|±  |0.0069|
|blimp_filtered  |N/A    |none  |     0|acc   |0.5101|±  |0.0020|
