|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.5356|±  |0.0163|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.6422|±  |0.0154|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.4843|±  |0.0168|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.4540|±  |0.0162|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.3547|±  |0.0158|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.7577|±  |0.0145|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.4443|±  |0.0160|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.7273|±  |0.0142|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.0254|±  |0.0050|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.3460|±  |0.0155|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.7141|±  |0.0149|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.5484|±  |0.0169|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.2625|±  |0.0142|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.4854|±  |0.0171|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.1448|±  |0.0117|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.0980|±  |0.0102|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.3496|±  |0.0163|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.3634|±  |0.0163|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.6779|±  |0.0154|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.6451|±  |0.0159|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.4612|±  |0.0068|
|blimp_filtered  |N/A    |none  |     0|acc   |0.5150|±  |0.0019|
