|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5090|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.5090|±  |0.0163|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.2818|±  |0.0146|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.0495|±  |0.0071|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.5259|±  |0.0166|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.5624|±  |0.0164|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.8991|±  |0.0101|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.0860|±  |0.0097|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5179|±  |0.0173|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5194|±  |0.0166|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.4873|±  |0.0163|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.2884|±  |0.0150|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.4601|±  |0.0165|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.9497|±  |0.0072|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5486|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.4580|±  |0.0163|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.5636|±  |0.0160|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.4371|±  |0.0166|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.5058|±  |0.0163|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.4298|±  |0.0163|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.5006|±  |0.0170|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.3642|±  |0.0155|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.4995|±  |0.0160|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.5456|±  |0.0159|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.8439|±  |0.0118|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.6109|±  |0.0161|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.4873|±  |0.0170|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.6062|±  |0.0158|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.4738|±  |0.0170|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.8619|±  |0.0115|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.9265|±  |0.0089|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.9593|±  |0.0067|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.4069|±  |0.0166|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.6094|±  |0.0161|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.0374|±  |0.0063|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.5890|±  |0.0064|
|blimp_filtered  |N/A    |none  |     0|acc   |0.5102|±  |0.0019|
