|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.5120|±  |0.0165|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.5150|±  |0.0177|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.4155|±  |0.0171|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.5135|±  |0.0176|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.3720|±  |0.0159|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.2108|±  |0.0135|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.4794|±  |0.0164|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.5547|±  |0.0181|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4994|±  |0.0171|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.4919|±  |0.0170|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.5016|±  |0.0161|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.5011|±  |0.0163|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5137|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5112|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.5195|±  |0.0162|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.1977|±  |0.0129|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.0861|±  |0.0092|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.5765|±  |0.0164|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.5755|±  |0.0164|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.9694|±  |0.0058|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.1183|±  |0.0112|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5095|±  |0.0173|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5238|±  |0.0166|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.5042|±  |0.0163|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.2445|±  |0.0142|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.4689|±  |0.0165|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.9836|±  |0.0042|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5071|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.4421|±  |0.0162|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.6184|±  |0.0156|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.4562|±  |0.0167|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.5101|±  |0.0163|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.3928|±  |0.0161|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.5121|±  |0.0169|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.2997|±  |0.0148|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.5332|±  |0.0160|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.6430|±  |0.0153|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.7078|±  |0.0148|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.5446|±  |0.0164|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.4781|±  |0.0170|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.5646|±  |0.0160|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.4633|±  |0.0170|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.9388|±  |0.0080|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.9358|±  |0.0084|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.9721|±  |0.0056|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.4229|±  |0.0167|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.5887|±  |0.0162|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.0198|±  |0.0046|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.5781|±  |0.0065|
|blimp_filtered  |N/A    |none  |     0|acc   |0.5043|±  |0.0019|
