|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.5853|±  |0.0159|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.4573|±  |0.0167|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.5069|±  |0.0163|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.4059|±  |0.0162|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.5052|±  |0.0170|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.3007|±  |0.0148|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.5332|±  |0.0160|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.5730|±  |0.0158|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.7268|±  |0.0145|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.5522|±  |0.0164|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.4677|±  |0.0169|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.4969|±  |0.0161|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.4587|±  |0.0170|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.8964|±  |0.0102|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.9312|±  |0.0087|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.9756|±  |0.0053|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.4046|±  |0.0166|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.5963|±  |0.0162|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.0220|±  |0.0049|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.6089|±  |0.0063|
|blimp_filtered  |N/A    |none  |     0|acc   |0.5060|±  |0.0019|
