|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.5561|±  |0.0176|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.3200|±  |0.0162|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.6219|±  |0.0170|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.2742|±  |0.0146|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.2865|±  |0.0150|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.6656|±  |0.0155|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.6047|±  |0.0178|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4152|±  |0.0169|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.5553|±  |0.0169|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.5557|±  |0.0160|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.4448|±  |0.0162|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5075|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5034|±  |0.0168|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.5174|±  |0.0162|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.6004|±  |0.0159|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.2045|±  |0.0132|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.1639|±  |0.0123|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.2177|±  |0.0137|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.1349|±  |0.0115|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.3202|±  |0.0161|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5833|±  |0.0170|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5426|±  |0.0166|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.6480|±  |0.0155|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.9178|±  |0.0091|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.3956|±  |0.0162|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.4256|±  |0.0164|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.4721|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.5420|±  |0.0163|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.4984|±  |0.0161|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.4539|±  |0.0167|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.4698|±  |0.0162|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.3351|±  |0.0156|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.4776|±  |0.0169|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.4787|±  |0.0161|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.5822|±  |0.0158|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.2596|±  |0.0140|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.3407|±  |0.0154|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.7228|±  |0.0148|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.5311|±  |0.0169|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.3177|±  |0.0150|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.3632|±  |0.0164|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.1915|±  |0.0131|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.1832|±  |0.0132|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.5714|±  |0.0169|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.5714|±  |0.0167|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.4723|±  |0.0165|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.4341|±  |0.0164|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.4599|±  |0.0066|
|blimp_filtered  |N/A    |none  |     0|acc   |0.4826|±  |0.0019|
