|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.0205|±  |0.0046|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.2255|±  |0.0139|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.2582|±  |0.0145|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.0578|±  |0.0079|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.4767|±  |0.0173|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5536|±  |0.0172|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5006|±  |0.0166|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.5888|±  |0.0160|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.9989|±  |0.0011|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.5923|±  |0.0163|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.9584|±  |0.0066|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5945|±  |0.0162|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.4676|±  |0.0163|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.3102|±  |0.0149|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.6461|±  |0.0160|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.4995|±  |0.0163|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.8999|±  |0.0099|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.5339|±  |0.0169|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.3434|±  |0.0153|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.5332|±  |0.0160|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.5771|±  |0.0157|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.7511|±  |0.0141|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.2467|±  |0.0142|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.5749|±  |0.0168|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.3812|±  |0.0157|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.6589|±  |0.0162|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.8675|±  |0.0113|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.9428|±  |0.0079|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.9930|±  |0.0028|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.9966|±  |0.0020|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.0076|±  |0.0029|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.0044|±  |0.0022|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.5842|±  |0.0066|
|blimp_filtered  |N/A    |none  |     0|acc   |0.5025|±  |0.0018|
