|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.4654|±  |0.0169|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.5390|±  |0.0161|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.7102|±  |0.0148|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5460|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5482|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.4213|±  |0.0161|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.2397|±  |0.0139|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.0161|±  |0.0041|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.2376|±  |0.0141|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.2626|±  |0.0146|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.0340|±  |0.0061|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.2139|±  |0.0142|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5024|±  |0.0173|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.4817|±  |0.0166|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.5275|±  |0.0162|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.9967|±  |0.0019|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.6350|±  |0.0159|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.9639|±  |0.0062|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5279|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.4793|±  |0.0163|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.1996|±  |0.0129|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.6528|±  |0.0160|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.5079|±  |0.0163|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.9641|±  |0.0061|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.5913|±  |0.0167|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.2893|±  |0.0146|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.5373|±  |0.0159|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.6582|±  |0.0151|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.7036|±  |0.0148|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.2978|±  |0.0151|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.5369|±  |0.0169|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.5833|±  |0.0159|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.6845|±  |0.0159|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.9198|±  |0.0091|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.9475|±  |0.0076|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.9907|±  |0.0033|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.9966|±  |0.0020|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.0087|±  |0.0031|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.0055|±  |0.0025|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.5723|±  |0.0068|
|blimp_filtered  |N/A    |none  |     0|acc   |0.5033|±  |0.0018|
